仪器名称,英文名,品牌,规格型号,图片,功能,网站,,,,,,,,,,,,,,,,,,,
一体式倒置荧光显微镜,"Inverted fluorescence microscope",Keyence,BZ-X800LE,,,"一体化荧光显微成像系统 - BZ-X800LE",,,,,,,,,,,,,,,,,,,
"多功能为空读数仪(酶标仪)","Microplate Reader",Themnofisher,Varioskan,,,"https://www.thermofisher.cn/order/catalog/product/cn/zh/VL0L0TD0",,,,,,,,,,,,,,,,,,,
酶标仪,"Microplate Reader",Tecan,"Infinite Eplex",,,"帝肯Infnite® E Plex (CN)全波长多功能微孔板检测仪Infnite® E Plex (CN)_报价 - 帝肯（上海）实验器材有限公司",,,,,,,,,,,,,,,,,,,
凝胶成像系统,"Gel imaging system",Bio-Rad,"Chemidoc MP",,,"ChemiDoc MP影像系统 |生物辐射",,,,,,,,,,,,,,,,,,,
倒置荧光显微镜,"Inverted fluorescence microscope",NiKon,Ti2-U,,,"https://www.microscope.healthcare.nikon.com/products/inverted-microscopes/eclipse-ti2-series",,,,,,,,,,,,,,,,,,,
实时荧光定量PCR仪,QPCR,Roche,"LightCycler 96",,,"LightCycler® 96 仪器",,,,,,,,,,,,,,,,,,,
荧光定量PCR系统,QPCR,ABI,"QuanStudio 6",,,"QuantStudio™ 6 Flex 实时荧光定量 PCR 系统，96 孔，便携式计算机 1 system | Request for Quote",,,,,,,,,,,,,,,,,,,
超高速冷冻离心机,"Ultra-speed centrifuge",Beckman,"Optima MAX-XP",,,"Optima MAX-XP 台式超速离心机|贝克曼beckman",,,,,,,,,,,,,,,,,,,
双色红外激光成像系统,"Infrared laser imaging system","Odyssey Clx",Li-cor,,,"https://sklbc.sysu.edu.cn/article/361",,,,,,,,,,,,,,,,,,,
激光共聚焦显微镜,"Confocal Microscope",Zeiss,LSM900,,,"用于材料研究的共聚焦蔡司LSM 900",,,,,,,,,,,,,,,,,,,
原子吸收光谱仪,"Atonic absorption spectrometer",岛津,AA-700OFG,,,"AA-7000 : Shimadzu SSL",,,,,,,,,,,,,,,,,,,
高效液相色谱仪,HPLC,Waters,"Waters e2695",,,"e2695 Separations Module Support",,,,,,,,,,,,,,,,,,,
纳米粒度分析仪,"Nanoparticle size analyzer",马尔文,"Zetasizer lab",,,"Zetasizer Lab | 分子大小、颗粒粒度和 Zeta 电位分析",,,,,,,,,,,,,,,,,,,
